instname,state,zip,control,medical,hospital,fte_count,tuition,revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
University of the Ozarks,Arkansas,72830,2,2,2,603.749995,13022571,23154103,0.522710992,134,88,59,39,2314,39,26,1641,83,55,27969,82,54,4395,600,18300,18300,,,,18253058,117907152,3387028,114520124,2996517,114520124,,79416850,,109,,,,,,,,,,,109,71,0.529850746,193,625,590,,,590,35,,,35,625,,,625,13,7,25,29,432,5,4,110,7,278,212,76,11,3,,1,2,,,,,,,,,,,,,,7,278,212,76,11,3,,1,2,,,18,3,1,5,3,2,,2,1,,,,,,,,,,,,,,18,3,1,5,3,2,,2,1,,,599,290,306,533,259,271,152,80,72,599,533,152,0,19,25,18,25,18,25,460,560,430,530,47,19,7.784679153,3.146997956,209,52895.57447,27.66045572,0.712121212,47,-93.466236,35.475014
University of Arkansas Community College-Morrilton,Arkansas,72110,1,2,2,1892.246652,5652061,15090148,0.128036658,515,83,343,55,4207,109,18,1906,224,36,1243,83,13,4779,540,2310,3360,,,,17207332,18461278,4306994,14154284,904915,14154284,,,300,,,,,140,178,,,,,,300,131,0.271784232,1089,2421,1625,,,1625,796,,,796,2421,,,2421,38,22,228,91,2041,,0,1,7,578,356,183,189,113,78,88,33,0,,,,,,,,,,,,,7,578,356,183,189,113,78,88,33,0,,40,94,121,116,140,90,68,96,25,6,,,,,,,,,,,,,40,94,121,116,140,90,68,96,25,6,,,,,,,,,,,,,,,,,,,,,,,,,60,47,3.170833989,2.483819958,217,39525,8.032779439,0.560747664,60,-92.728703,35.170759
Philander Smith College,Arkansas,72202-3799,2,2,2,624.285704,5954411,14979681,0.252851038,152,94,113,70,6093,29,18,1682,113,70,6879,152,94,4241,380,8620,8620,,,,14191473,49136197,16304846,32831351,1498490,32831351,,11335483,,98,,,,,,,,,,,98,27,0.164634146,223,668,596,,,596,72,,,72,668,,,668,0,1,636,6,0,0,4,21,13,210,160,105,47,26,15,16,4,,,,,,,,,,,,,,13,210,160,105,47,26,15,16,4,,,0,5,7,17,14,9,6,10,4,,,,,,,,,,,,,,0,5,7,17,14,9,6,10,4,,,1714,589,1125,1187,414,773,159,53,106,1714,1187,152,7,16,22,15,22,16,20,410,500,400,480,55,37,8.810068795,5.926773553,196,40080.05769,22.26544659,0.597826087,52,-92.28242,34.73666
Phillips Community College of the University of Arkansas,Arkansas,72342-0785,1,2,2,1406.501366,3160368,22512420,0.084933463,200,93,180,83,4577,48,22,967,88,41,1356,18,8,2556,380,1920,3060,,,,23867471,29235049,14697282,14537767,442657,14537767,,,158,,,,,195,80,,,,,,158,31,0.25,329,2282,964,,,964,1318,,,1318,2282,,,2282,7,11,1049,48,1167,,0,0,9,288,199,133,109,92,50,69,14,1,,,,,,,,,,,,,9,288,199,133,109,92,50,69,14,1,,626,169,60,86,105,66,66,88,50,2,,,,,,,,,,,,,626,169,60,86,105,66,66,88,50,2,,,,,,,,,,,,,,,,,,,,,,,,,79,54,5.616773784,3.839313726,348,38128.74684,16.13933733,0.593984962,79,-90.6184,34.5458
Southeast Arkansas College,Arkansas,71603,1,2,2,1408.607202,4131201,13478849,0.028601852,238,91,204,78,4512,38,15,1096,11,4,2088,85,32,2754,280,2040,4080,,,,17380317,27442373,3033282,24409091,1861270,24409091,,,169,,,,,294,192,,,,,,169,10,0.149253731,572,2037,1091,,,1091,946,,,946,2037,,,2037,1,11,841,25,3,4,1152,0,9,258,185,146,154,136,80,104,19,0,,,,,,,,,,,,,9,258,185,146,154,136,80,104,19,0,,11,52,121,139,201,138,101,115,57,11,,,,,,,,,,,,,11,52,121,139,201,138,101,115,57,11,,629,305,324,523,269,254,436,228,208,629,523,275,161,,,,,,,,,,,43,76,3.052660808,5.395400499,222,45989.65116,8.306077083,0.361344538,43,-92.024776,34.209797
Pulaski Technical College,Arkansas,72118-3347,1,2,2,6668.644063,24150583,48991317,0.063090816,933,86,819,75,3944,196,18,1197,200,18,2039,610,56,6554,380,2400,3930,,,,59820962,87447673,52118590,35329083,3431420,35329083,,,1134,,,,,620,1276,3,,,,,1134,99,0.110986547,2079,10255,4856,,,4856,5399,,,5399,10255,,,10255,53,150,4875,297,4699,162,5,14,22,1116,703,651,878,604,373,363,136,10,,,,,,,,,,,,,22,1116,703,651,878,604,373,363,136,10,,274,341,481,713,1101,865,559,695,339,31,,,,,,,,,,,,,274,341,481,713,1101,865,559,695,339,31,,,,,,,,,,,,,,,,,,,,,,,,,158,320,2.369297244,4.798576697,701,46162.60127,5.44338544,0.330543933,158,-92.298867,34.785194
University of Arkansas Community College-Hope,Arkansas,71802-0140,1,2,2,1052.192995,2387884,11213811,0.100317687,264,94,230,82,4529,66,23,1564,64,23,1485,26,9,2121,246,1770,3450,,,,13883941,17777702,7747809,10029893,179098,10029893,,,134,,,,,211,161,,,,,,134,51,0.208163265,564,1474,839,,,839,635,,,635,1474,,,1474,4,8,507,47,856,3,49,0,19,257,123,101,105,90,46,73,25,0,,,,,,,,,,,,,19,257,123,101,105,90,46,73,25,0,,128,54,56,61,108,66,61,62,33,6,,,,,,,,,,,,,128,54,56,61,108,66,61,62,33,6,,,,,,,,,,,,,,,,,,,,,,,,,40,31,3.801583948,2.94622756,143,41161.825,10.64443505,0.563380282,40,-93.58713,33.64641
Williams Baptist College,Arkansas,72476,2,2,2,548.571412,7329923,9592036,0.314506714,133,99,67,50,4612,65,48,2422,132,98,4774,87,64,4367,800,10600,10600,,,,6693817,32965720,5099024,27866696,592138,27866696,,8435670,0,77,,,,,,,,,,,77,61,0.438848921,259,619,503,,,503,116,,,116,619,,,619,6,1,9,3,595,2,0,3,6,201,164,60,24,15,16,10,7,,,,,,,,,,,,,,6,201,164,60,24,15,16,10,7,,,36,14,8,14,10,6,11,13,4,,,,,,,,,,,,,,36,14,8,14,10,6,11,13,4,,,550,230,320,353,151,202,139,58,81,550,353,139,0,19,24,17,24,19,25,,,,,28,14,5.104166821,2.55208341,103,42054.78571,14.58333377,0.666666667,28,-90.932278,36.125156
South Arkansas Community College,Arkansas,71731-7010,1,2,2,1136.300309,3698915,15217155,0.040222606,136,84,120,75,4772,17,11,1499,8,5,1496,28,17,3374,160,1824,3336,,,,16004114,27788700,6042816,21745884,1098840,21745884,,,136,,,,,143,158,0,,,,,136,13,0.092857143,592,1772,815,,,815,957,,,957,1772,,,1772,8,6,602,29,1101,,26,0,8,210,130,102,130,92,59,63,20,1,,,,,,,,,,,,,8,210,130,102,130,92,59,63,20,1,,257,58,80,99,128,98,90,102,40,5,,,,,,,,,,,,,257,58,80,99,128,98,90,102,40,5,,,,,,,,,,,,,,,,,,,,,,,,,59,41,5.192289356,3.608201078,194,44366.38983,12.84871603,0.59,59,-92.665579,33.210435
Southern Arkansas University Main Campus,Arkansas,71753,1,2,2,2779.635622,18629195,42957832,0.314711881,577,94,338,55,5267,95,15,2395,406,66,5125,289,47,5326,966,5100,7740,584,3798,5580,44407811,83656931,43250484,40406447,376820,40406447,,,62,386,157,,,0,0,,,,,,605,192,0.327645051,838,2777,2385,116,116,2501,392,333,333,725,2777,449,449,3226,18,42,927,54,2060,,14,111,56,938,645,367,162,93,44,67,13,0,,,,1,43,29,15,8,15,5,0,,56,938,646,410,191,108,52,82,18,0,,68,10,29,58,59,38,32,37,29,32,,,,1,68,76,59,45,61,19,4,,68,10,30,126,135,97,77,98,48,36,,2024,893,1131,1493,669,824,619,293,326,2024,1493,617,2,18,24,17,25,17,24,470,560,410,540,162,52,5.828102026,1.870748798,400,51147.95062,12.48365064,0.757009346,162,-93.2353,33.288656
Southern Arkansas University Tech,Arkansas,71701-1906,1,2,2,1137.479733,4608328,15871496,0.148650226,158,71,134,61,5689,24,11,1890,38,17,2165,51,23,4464,630,2550,3870,,,,17226153,20284938,1777440,18507498,1580951,18507498,,,159,,,,,407,303,,,,,,159,87,0.443877551,467,2007,698,,,698,1309,,,1309,2007,,,2007,12,8,689,34,1221,31,3,9,6,230,132,81,93,50,39,46,14,2,5,,,,,,,,,,,,6,230,132,81,93,50,39,46,14,2,5,798,87,57,65,73,49,70,78,26,1,5,,,,,,,,,,,,798,87,57,65,73,49,70,78,26,1,5,,,,,,,,,,,,,,,,,,,,,,,,32,29,2.813236937,2.549495974,159,41410.71875,11.07712044,0.524590164,32,-92.82958,33.58698
University of Arkansas-Fort Smith,Arkansas,72913-3649,1,2,2,5919.607539,29843347,66154497,0.171863464,1108,91,709,58,4636,268,22,2241,697,57,2479,454,37,3968,1180,3420,8820,,,,68726452,165651530,85605149,80046381,19610979,80046381,,,383,419,,,,228,74,,,,,,802,77,0.266435986,2255,7335,4962,,,4962,2373,,,2373,7335,,,7335,235,283,287,432,5165,302,600,31,213,1688,1022,643,523,342,204,243,83,1,,,,,,,,,,,,,213,1688,1022,643,523,342,204,243,83,1,,560,169,226,352,358,228,165,217,92,6,,,,,,,,,,,,,560,169,226,352,358,228,165,217,92,6,,3332,1491,1841,2045,905,1140,1306,579,727,3332,2045,1214,92,19,24,18,25,18,24,,,,,223,178,3.767141631,3.0069561,771,55440.58108,9.375621548,0.556109726,222,-94.374213,35.385306
Academy of Art University,California,94105,3,2,2,11561.2122,232223834,247391291,0.013447995,712,63,358,32,4445,53,5,6306,29,3,15627,666,59,6463,290,17760,17760,290,20160,20160,211643891,65730814,34222518,,,,,,125,837,520,,,,,1,,,,,1482,136,0.292473118,2768,10864,6358,2743,2743,9101,4506,1806,1806,6312,10864,4549,4549,15413,90,1369,847,1083,4991,0,3861,3172,82,1391,1765,1722,997,227,107,49,13,0,5,,,25,729,1315,391,160,73,39,3,8,82,1391,1790,2451,2312,618,267,122,52,3,13,19,269,416,807,1328,720,373,391,162,12,9,,,2,154,595,397,231,239,182,5,1,19,269,418,961,1923,1117,604,630,344,17,10,,,,,,,,,,,,,,,,,,,,,,,,196,1105,1.695323956,9.557821284,2269,61883.66837,7.819249268,0.150653344,196,-122.400721,37.787685
Allan Hancock College,California,93454-6399,1,2,2,5979.752631,6632752,74479263,0.123446949,506,59,296,35,4430,485,57,885,1,0,175,30,4,2977,40,722,6042,,,,73655191,194297694,108016647,86281047,9298429,86281047,,,891,,,,,177,424,31,,,,,891,253,0.313895782,3068,11070,3407,,,3407,7663,,,7663,11070,,,11070,103,497,352,4590,4604,172,738,14,86,1608,752,397,249,118,66,95,35,1,0,,,,,,,,,,,,86,1608,752,397,249,118,66,95,35,1,0,323,1249,1223,1174,1149,668,502,746,527,101,1,,,,,,,,,,,,323,1249,1223,1174,1149,668,502,746,527,101,1,,,,,,,,,,,,,,,,,,,,,,,,157,454,2.625526668,7.592287307,858,76396.30263,6.655793719,0.25695581,152,-120.424824,34.943821
American Academy of Dramatic Arts-West,California,90028,2,2,2,177,5194382,4622634,0.165669179,35,100,14,40,4593,3,9,6472,35,100,6157,20,57,8580,500,26500,26500,,,,4619410,9469478,8472550,996928,5142246,996928,,,17,,,,,,,64,,,,,17,51,0.607142857,72,177,177,,,177,,,,,177,,,177,1,2,13,17,80,16,8,40,,40,62,50,23,2,,,,,,,,,,,,,,,,,,40,62,50,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,350,138,212,193,73,120,75,43,32,350,193,75,0,,,,,,,,,,,9,32,5.084745763,18.07909605,62,43666.22222,14.12429379,0.219512195,9,-118.344097,34.095315
Art Center College of Design,California,91103,2,2,2,1631.303888,68125000,70586000,0.152704587,64,65,28,28,7051,17,17,9353,43,43,11686,41,41,11751,500,31076,31076,500,32846,32846,62720000,130436000,45988000,84448000,3679000,84448000,,64903000,,336,28,,,,,,,,,,364,39,0.696428571,383,1772,1294,135,135,1429,478,38,38,516,1772,173,173,1945,11,709,41,169,532,1,88,394,5,181,286,359,347,83,21,10,0,,2,,,,27,73,19,10,3,3,,,5,181,286,386,420,102,31,13,3,,2,0,17,72,155,163,50,8,8,5,,0,,,,0,17,15,2,4,0,,,0,17,72,155,180,65,10,12,5,,0,742,446,296,492,270,222,308,184,124,742,492,308,0,,,,,,,,,,,84,262,5.149255183,16.06077212,558,62438.4881,18.14499445,0.242774566,84,-118.186916,34.169997
Azusa Pacific University,California,91702-7000,2,2,2,7025.924577,172957547,189844935,0.194460962,964,95,247,24,5074,202,20,8572,895,88,9942,596,59,7080,800,26950,26950,0,9540,9540,195155728,358794690,191746756,167047934,55875289,167047934,,74826145,,1137,1245,9,67,,,,23,,,,2458,558,0.622073579,1385,4874,4163,1915,1915,6078,711,1750,1750,2461,4874,3665,3665,8539,53,724,515,1462,4665,2,821,297,50,1818,1589,531,106,22,11,21,9,,6,,,12,422,618,288,170,242,142,5,16,50,1818,1601,953,724,310,181,263,151,5,22,0,19,51,125,144,109,99,112,45,,7,,,2,147,430,346,235,316,225,10,39,0,19,53,272,574,455,334,428,270,10,46,4441,1531,2910,2780,893,1887,1093,378,715,4441,2780,1090,3,21,26,,,,,490,600,490,590,416,28,5.920928917,0.398524062,1175,64559.24277,15.32894338,0.936936937,346,-117.890001,34.128897
Bakersfield College,California,93305-1299,1,2,2,15911.50119,16278877,165497297,,1616,68,1306,55,4535,1595,67,952,2,0,493,55,2,5424,38,624,5448,,,,200472607,510382620,337348702,173033918,21985386,173033918,,,1416,,,,,697,209,,,,,,1416,427,0.188520971,8776,29344,9137,,,9137,20178,,,20178,29315,,,29315,567,1710,1734,11470,11755,28,1979,72,280,3950,1748,993,919,468,270,352,145,7,5,,,,,,,,,,,,280,3950,1748,993,919,468,270,352,145,7,5,695,3417,2894,2981,3161,1974,1433,2068,1284,266,5,,,,,,,,,,,,695,3417,2894,2981,3161,1974,1433,2068,1284,266,5,,,,,,,,,,,,,,,,,,,,,,,,375,448,2.356785797,2.815573432,1324,86032.87097,4.920968744,0.455650061,372,-118.973206,35.410917
Bethany University,California,95066-2898,2,2,2,429.099621,7611565,11050041,0.370860526,73,100,37,51,4931,15,21,4387,73,100,7565,51,70,7301,785,17600,17600,500,10320,10320,9255242,21272235,13728663,7543572,3157520,7543572,,1113873,0,75,36,,,,2,,,,,,111,35,0.397727273,163,419,355,31,31,386,64,47,47,111,419,78,78,497,6,24,43,87,298,3,29,7,,103,115,78,28,11,5,4,9,,2,,,,5,8,3,6,5,2,,2,,103,115,83,36,14,11,9,11,,4,,5,5,11,13,5,8,6,11,,0,,,,9,9,3,4,13,9,,0,,5,5,20,22,8,12,19,20,,0,316,131,185,143,50,93,79,36,43,316,143,76,3,16,21,11,21,16,23,400,500,440,510,21,42,4.893968433,9.787936867,174,49225.28571,14.91495142,0.333333333,21,-121.994343,37.074773
Biola University,California,90639-0001,2,2,2,4970.62521,117489000,139209000,0.228974627,728,95,215,28,4789,174,23,8035,685,89,8581,649,85,9498,0,27744,27744,0,8100,8100,120345000,293340000,147312000,146028000,14606000,146028000,,114403000,,913,335,23,1,,,,0,14,,14,1272,448,0.648335745,1095,3647,3589,775,775,4364,346,1232,1232,1578,3935,2007,2007,5942,48,810,200,564,3560,,317,443,52,2076,1130,208,61,18,18,16,3,7,,1,1,57,196,244,103,74,67,31,0,1,53,2077,1187,404,305,121,92,83,34,7,1,2,14,53,47,70,38,27,63,31,1,,0,1,10,96,275,166,158,281,212,13,20,2,15,63,143,345,204,185,344,243,14,20,2681,871,1810,2185,698,1487,1126,423,703,2681,2185,1100,26,21,35,21,35,,,480,800,500,800,218,223,4.385766192,4.48635716,1072,70494.66514,15.61171819,0.494331066,218,-118.017982,33.905083
Brooks Institute,California,93103,3,2,-1,2235,52738697,55819341,0.000536304,156,80,53,27,3509,26,13,7339,2,1,1334,154,79,31119,600,24960,24960,600,20700,20700,44511110,61738558,7311151,,,,,,29,523,14,0,0,0,0,7,0,0,0,0,566,51,0.333333333,413,2137,2137,98,98,2235,,,,,2137,98,98,2235,12,93,57,248,1428,,310,87,2.514154434,284,650,605,428,96,22,17,9,,26,,,,1,38,31,9,8,3,,8,2.52856636,284,650,606,466,127,31,25,12,,34,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,767,358,409,724,333,391,175,83,92,767,724,175,0,,,,,,,,,,,49,87,2.192393736,3.89261745,310,49502.61224,9.843400447,0.360294118,49,-119.694882,34.437392
Butte College,California,95965-8399,1,2,2,8499.151789,10660204,98386774,0.405216167,749,68,592,54,4539,712,65,1049,133,12,299,121,11,5287,180,624,5184,,,,122497522,253305200,106607929,146697271,4477420,146697271,,,1036,,,,,1592,235,48,,,,,1036,273,0.251149954,3468,13146,6150,,,6150,6997,,,6997,13147,,,13147,317,854,397,1877,8466,0,1123,113,133,2277,1474,779,666,306,185,230,100,0,,,,,,,,,,,,,133,2277,1474,779,666,306,185,230,100,0,,416,1239,1197,1150,996,568,384,571,373,103,,,,,,,,,,,,,416,1239,1197,1150,996,568,384,571,373,103,,,,,,,,,,,,,,,,,,,,,,,,,188,539,2.211985439,6.341809317,1064,77997.58511,5.871174117,0.258596974,188,-121.65112,39.650045
California Baptist University,California,92504-3297,2,2,2,3509.063473,79859154,82657933,0.230815593,449,79,161,28,4625,116,20,7347,433,76,8936,336,59,7930,1400,21866,21866,510,8352,8352,76974040,157886553,124824065,33062488,32979749,33062488,,11044678,,711,245,,,,,,,,,,956,168,0.541935484,1000,3222,2773,361,361,3134,449,520,520,969,3222,881,881,4103,35,164,317,823,2297,17,289,161,68,1007,989,389,175,49,26,49,20,1,0,,,5,141,99,34,33,33,16,0,,68,1007,994,530,274,83,59,82,36,1,0,4,14,37,86,96,64,42,52,34,0,20,,,7,100,120,91,67,86,48,1,,4,14,44,186,216,155,109,138,82,1,20,1734,692,1042,1280,504,776,576,232,344,1734,1280,569,7,19,24,18,24,17,24,440,560,450,570,164,161,4.673611671,4.588118774,576,66243.78659,11.68402918,0.504615385,164,-117.427126,33.931322
California College of the Arts,California,94618-1487,2,2,2,1748.887844,59627074,51684000,0.298355643,189,90,69,33,4742,34,16,7503,189,90,13840,114,54,7617,350,32904,32904,350,34290,34290,45483000,108329000,52208000,56121000,8270000,56121000,,26957000,,255,181,,,,,,,,,,436,92,0.541176471,421,1402,1289,409,409,1698,113,17,17,130,1402,426,426,1828,17,275,79,189,858,5,225,180,17,351,378,299,162,45,24,9,4,0,,,,1,78,203,69,31,17,10,,,17,351,379,377,365,114,55,26,14,0,,0,1,4,28,32,26,13,5,3,1,,,,0,0,3,2,4,5,3,,,0,1,4,28,35,28,17,10,6,1,,1182,346,836,885,250,635,212,75,137,1182,885,211,1,,,,,,,,,,,82,422,4.688694034,28.36088099,796,54781.2125,15.72427877,0.141868512,80,-122.251396,37.835739
California Institute of Technology,California,91125,2,2,2,2130,71503000,2365740000,0.521124988,199,79,19,8,4814,31,12,2294,149,59,29152,83,33,5026,1260,33324,33324,1113,33324,33324,2299310000,3625352000,1469581000,2155771000,55961000,2155771000,,1833665000,,192,119,179,,,,,,2,,2,490,187,0.903381643,258,951,951,1179,1179,2130,,,,,951,1179,1179,2130,2,527,31,107,899,,32,532,43,452,393,59,3,1,,,,,,,2,19,391,600,140,19,6,2,,,43,454,412,450,603,141,19,6,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,4413,3318,1095,674,390,284,252,145,107,4413,674,252,0,33,35,33,35,34,36,770,800,690,770,945,38,44.36619718,45.91549296,4085,143445.8878,133.943662,0.491419657,312,-118.127476,34.135914
California Lutheran University,California,91360-2787,2,2,2,3278.981312,78825653,89738455,0.31706064,447,96,119,26,5349,86,19,8553,444,96,14311,325,70,6388,250,28980,28980,0,14400,14400,73879361,224613924,94679397,129934527,36447314,129934527,,59653052,,523,418,,16,,,,,3,,3,957,262,0.651741294,685,2352,2122,884,884,3006,230,478,478,708,2352,1362,1362,3714,27,236,133,617,2012,93,361,235,59,869,805,213,85,28,27,27,9,0,,,1,12,243,269,107,61,112,69,3,7,59,870,817,456,354,135,88,139,78,3,7,0,3,11,30,37,26,33,66,23,1,,,1,4,31,128,85,78,94,54,3,0,0,4,15,61,165,111,111,160,77,4,0,3665,1619,2046,2281,978,1303,464,262,202,3665,2281,464,0,22,26,21,28,20,27,510,610,490,580,144,180,4.391607829,5.489509786,645,75916.42361,12.65636978,0.444444444,144,-118.8771,34.225543
California Polytechnic State University-San Luis Obispo,California,93407,1,2,2,18722.13332,130886425,327570855,0.102513641,1730,45,463,12,5453,836,22,2715,667,17,4457,1148,30,5293,6498,11160,11160,7434,0,11160,318335175,895595866,514558442,381037424,4545634,381037424,,,,4030,440,,,,,,,,,,4470,2115,0.729310345,4673,18302,17623,713,713,18336,679,310,310,989,18302,1023,1023,19325,116,2050,177,2268,12398,,2103,213,35,6361,6982,3565,522,99,22,26,10,1,,,0,6,414,214,43,18,14,4,,,35,6361,6988,3979,736,142,40,40,14,1,,1,51,121,327,102,38,14,13,11,1,,,1,1,87,103,46,39,21,12,,,1,52,122,414,205,84,53,34,23,1,,33270,17461,15809,11091,5682,5409,3438,1896,1542,33270,11091,3386,52,24,29,23,29,25,30,570,680,530,630,780,299,4.166191891,1.986953056,2451,80418.96645,10.78936874,0.677083333,775,-120.65856,35.29889
California State University-Bakersfield,California,93311-1099,1,2,2,7105.884167,39595726,125606436,0.011158755,851,81,647,61,4992,524,50,2257,655,62,4796,308,29,4300,5091,11160,11160,6027,0,11160,109353736,153878956,44639873,109239083,1000000,109239083,,,,1286,368,,,,,,,,,,1654,320,0.429530201,1975,6534,5565,969,969,6534,969,500,500,1469,6534,1469,1469,8003,77,530,591,2927,2342,,1399,137,16,1626,1433,1312,609,188,152,156,70,3,,,,9,214,320,154,94,105,70,3,,16,1626,1442,1526,929,342,246,261,140,6,,3,43,82,273,239,104,77,92,50,6,,,,0,54,149,88,64,83,57,5,,3,43,82,327,388,192,141,175,107,11,,5090,1844,3246,3097,1058,2039,925,319,606,5090,3097,893,32,15,20,14,20,16,21,400,520,390,490,254,114,3.574502399,1.745032667,898,75357.78261,10.31539472,0.671957672,253,-119.103271,35.354272
California State University-Stanislaus,California,95382,1,2,2,6756.009399,40867606,127633827,0.098115828,620,78,373,47,4838,419,53,2402,390,49,3711,267,33,5002,4840,11160,11160,5776,0,11160,115219024,179989286,59768014,120221272,714150,120221272,,,,1429,249,,,,,,,,,,1678,323,0.494640123,1830,7086,4889,686,686,5575,2197,814,814,3011,7086,1500,1500,8586,69,933,287,2639,3334,,1200,124,9,1395,1477,1279,450,132,63,66,17,1,,,,5,219,223,79,56,72,32,0,,9,1395,1482,1498,673,211,119,138,49,1,,2,268,333,622,473,178,114,141,64,2,,,,2,94,256,158,95,131,72,6,,2,268,335,716,729,336,209,272,136,8,,4751,1678,3073,3125,1021,2104,965,346,619,4751,3125,899,66,17,22,16,23,17,24,420,540,420,530,289,110,4.277673149,1.68738664,918,75716.86851,11.47126882,0.717121588,289,-120.85747,37.52577
California State University-San Bernardino,California,92407-2397,1,2,2,15262.20421,94274744,229616366,0.029827183,1516,77,1134,58,5395,931,47,2063,1083,55,4219,743,38,4742,4857,11160,11160,5775,0,11160,223941975,460779037,164000938,296778099,9568997,296778099,,,,2604,784,,,,,,,,,,3388,699,0.440453686,4062,14619,12397,1252,1252,13649,2222,1981,1981,4203,14619,3233,3233,17852,105,1300,1980,7009,5074,,1710,674,31,3417,3096,3156,1513,478,262,284,156,4,,0,,10,279,377,179,116,167,116,8,,31,3417,3106,3435,1890,657,378,451,272,12,,117,135,223,548,497,224,127,210,115,26,,1,,4,188,616,368,222,308,236,38,,118,135,227,736,1113,592,349,518,351,64,,10618,3924,6694,2557,893,1664,1968,721,1247,10618,2557,1917,51,16,20,14,20,16,21,400,510,390,500,453,371,2.968116491,2.974668625,1816,78783.6615,8.557086396,0.499448732,452,-117.328235,34.177998
California State Polytechnic University-Pomona,California,91768,1,2,2,19357.31879,105228612,292383096,0.02222597,1614,59,952,35,4871,982,36,2459,780,29,4319,812,30,5124,4551,11160,11160,5487,0,11160,268825642,577292599,225631127,351661472,18669092,351661472,,,,3656,403,,,,,,,,,,4059,1198,0.56643026,4573,20136,16641,835,835,17476,3495,1302,1302,4797,20136,2137,2137,22273,70,5743,774,6886,5593,,2050,1157,25,4482,5189,4670,1692,352,95,96,37,3,,,,7,236,309,127,58,67,30,1,,25,4482,5196,4906,2001,479,153,163,67,4,,52,331,551,1303,822,194,85,110,43,4,,,,6,191,508,241,120,142,88,6,,52,331,557,1494,1330,435,205,252,131,10,,24530,12251,12279,12952,6427,6525,2640,1527,1113,24530,12952,2538,102,19,25,18,24,19,27,480,610,440,560,565,455,2.91879266,2.794808547,2209,84741.64947,8.322433585,0.51084991,562,-117.820714,34.05037
California State University-Chico,California,95929-0150,1,2,2,15855.29951,95674062,236867822,0.077158959,1336,54,679,28,5342,658,27,2455,696,28,4247,932,38,4336,5336,11160,11160,6272,0,11160,205678336,401035900,195981328,205054572,8099711,205054572,,,,3219,338,,,,,,,,,,3557,1359,0.618289354,3996,15614,14332,828,828,15160,1282,492,492,1774,15614,1320,1320,16934,148,872,350,2289,10822,,1943,510,24,4236,4669,3811,1003,271,141,127,49,1,,,,10,317,247,98,49,67,39,1,,24,4236,4679,4128,1250,369,190,194,88,2,,35,78,142,421,276,116,65,96,51,2,,,,0,57,153,78,43,91,63,7,,35,78,142,478,429,194,108,187,114,9,,16442,7225,9217,13166,5690,7476,2765,1334,1431,16442,13166,2728,37,19,24,18,24,19,25,460,570,450,550,531,369,3.349037965,2.882317043,1947,78674.87382,8.810934156,0.537449393,531,-121.84621,39.73177
